Archivo;Tamaño(K);Cant Palabras Inicial;Cant Palabras depuradas;Vocabulario Inicial;Vocabulario Final
1410.2670.txt;24;3926;3348;923;597
1404.3626.txt;35;6247;4796;1052;635
1405.0149.txt;34;7257;5240;907;580
1409.2612.txt;21;4211;2960;506;305
1511.00867.txt;72;14471;12117;1418;862
1504.01708.txt;106;20212;16965;1809;1051
1412.0340.txt;46;8497;7269;1300;819
1407.4908.txt;25;3973;3662;954;597
1510.02659.txt;86;16131;13508;1471;867
1203.3341.txt;89;15777;12477;1989;1145
1407.4066.txt;59;12521;10103;1168;713
1407.6116.txt;22;3738;3040;844;530
1307.2968.txt;614;117460;93283;4194;2165
1502.05880.txt;13;2121;1753;603;404
1507.02180.txt;14;2865;2339;467;292
1412.8591.txt;17;2797;2531;831;557
1506.08977.txt;28;4808;4329;978;627
1306.6109.txt;117;20330;18787;1675;933
1101.1169.txt;61;11435;9889;1375;845
1502.04147.txt;145;26357;21226;2773;1708
1503.01628.txt;51;9552;8177;1147;682
1502.03097.txt;55;9985;8440;1571;980
1510.01072.txt;48;9747;7765;1157;710
1211.0729.txt;73;12608;10893;1662;974
1507.07583.txt;57;9502;8421;1735;1065
1504.02141.txt;61;10248;9034;1754;1103
1510.03840.txt;22;3784;3119;991;691
1405.7264.txt;151;25971;22456;2579;1468
1206.4627.txt;38;6683;5363;1065;691
1502.02800.txt;84;16144;12007;1708;1057
1103.1951.txt;24;4771;3529;584;334
1511.02166.txt;46;7787;6494;1357;882
1510.02438.txt;71;14011;10942;1336;808
1209.0735.txt;30;5510;4122;1146;782
1511.00736.txt;45;7172;6248;1477;972
0704.3504.txt;22;4150;3050;564;356
1401.1671.txt;59;10489;9051;1529;952
1312.1001.txt;67;12870;10559;1183;691
1402.4338.txt;44;8814;6828;1143;706
1211.6470.txt;60;10019;8822;1846;1134
1408.3743.txt;17;3319;1972;481;278
1507.07622.txt;89;17296;14305;1437;844
1308.1603.txt;12;1891;1695;575;366
1510.05461.txt;51;10770;7938;1209;742
1401.1861.txt;29;5177;4665;1172;746
1406.4060.txt;104;21158;15351;1436;811
1407.4723.txt;28;4180;3910;1003;639
1412.5204.txt;16;3323;2253;527;333
1308.0497.txt;11;1974;1711;493;293
1508.04596.txt;41;6442;5538;1331;863
0811.1254.txt;83;14720;11667;1836;1180
1411.7632.txt;71;13106;10186;1697;1026
1510.00549.txt;36;7009;5870;1033;636
1409.8061.txt;27;5576;4419;737;477
1504.01782.txt;41;7010;6042;1242;823
1111.0284.txt;31;6144;4752;956;610
1310.6324.txt;98;20182;16593;1577;909
1503.02985.txt;75;12488;10711;1734;1044
1509.00926.txt;43;7853;6393;738;462
1507.08861.txt;50;7834;7233;1370;826
1502.01566.txt;31;6444;3581;976;668
1407.6845.txt;84;15185;12846;2299;1403
1408.3030.txt;75;13589;10935;1667;962
1111.2480.txt;93;17888;14920;1621;905
1301.2959.txt;42;8212;6175;1135;672
1303.0730.txt;36;7071;5235;881;541
1404.1864.txt;87;16854;12931;1735;1120
1510.04780.txt;38;6159;5762;1382;866
1403.3772.txt;153;31076;24188;1696;989
1407.5218.txt;91;13772;10627;2342;1348
1506.08435.txt;60;9802;8210;1848;1148
1508.05232.txt;42;7176;5435;1184;798
1309.4958.txt;165;32260;27448;2119;1242
1301.3605.txt;32;5289;4726;1198;745
1208.6408.txt;45;6664;5228;1137;655
1508.01950.txt;87;17068;14267;1646;1002
1408.1390.txt;28;5524;4326;796;484
1501.05260.txt;8;1342;731;190;109
1007.5491.txt;62;11375;9159;1168;688
1511.06324.txt;89;18109;13403;1842;1168
0911.2538.txt;50;9242;7901;1477;972
1510.03903.txt;77;13201;11161;1651;992
1507.03528.txt;94;18382;13693;1741;1045
1509.00773.txt;66;10785;8968;1923;1134
1510.06423.txt;57;10067;8283;1549;945
1006.5892.txt;30;5195;4447;1074;703
1311.2970.txt;69;12359;10752;1651;1015
1407.2109.txt;71;13389;11478;1375;789
1507.04500.txt;165;32053;27520;1806;1019
1404.2458.txt;49;8792;7283;1596;1018
1404.3056.txt;20;3014;2834;984;670
1208.3251.txt;63;10730;9173;1802;1126
1307.3142.txt;40;8463;6175;1004;624
1507.07402.txt;83;16419;12384;1492;879
1210.7638.txt;62;11391;9703;1276;796
1511.02476.txt;350;58384;51547;5301;3037
1404.6898.txt;199;39940;29681;2480;1412
0911.2746.txt;28;5238;4055;854;542
1510.05071.txt;55;10395;8129;1334;870
1409.6182.txt;24;2942;1885;636;418
1505.05917.txt;70;12984;9455;1442;890
1510.01518.txt;62;11682;9374;1589;992
1412.4171.txt;216;35889;31041;3976;2230
1402.5481.txt;154;28643;22802;3018;1803
1412.7725.txt;77;12495;11349;2093;1234
1510.06684.txt;16;2712;2146;689;455
1504.06584.txt;27;4765;3965;859;521
1510.00347.txt;139;25443;20464;2066;1223
1502.03387.txt;24;3961;3590;1086;705
1407.4729.txt;54;9857;7586;1571;999
1507.07091.txt;100;19578;15688;1862;1113
1408.3190.txt;65;13644;10365;1106;699
1203.4600.txt;137;28159;21823;1682;991
1402.4327.txt;37;7158;5476;1123;674
1504.03872.txt;33;6587;5127;926;562
1502.07884.txt;87;16702;13617;1431;932
1504.04217.txt;138;26936;20919;2055;1222
1501.07637.txt;86;15783;13356;1899;1110
1402.6208.txt;29;4672;4520;1264;785
1210.4959.txt;43;8218;7664;1046;593
1401.8219.txt;39;7499;5434;1093;674
0907.3965.txt;79;14040;12472;1534;903
1501.04318.txt;23;3841;3455;936;598
1505.07368.txt;113;18477;16773;3226;1756
1509.05664.txt;69;12139;9751;1423;820
1302.4808.txt;84;14395;12833;1766;1011
1509.01676.txt;49;8457;7245;1558;980
1507.05995.txt;18;3007;2589;643;425
1412.4198.txt;26;5093;4087;787;501
1006.1029.txt;44;6641;5931;1559;1038
1204.6445.txt;166;34919;25595;1968;1145
1312.2674.txt;63;11168;9370;1674;1036
1506.00571.txt;31;4816;3910;477;292
1510.03895.txt;85;15706;12195;1779;1077
1511.09259.txt;73;14948;11950;1310;780
1410.4617.txt;81;14534;12320;2157;1269
1506.06305.txt;35;5881;4898;1236;823
1511.04944.txt;72;11690;8728;1607;1028
1204.1846.txt;102;20127;15084;1668;944
1410.5131.txt;220;49959;32795;787;456
1502.05491.txt;98;15990;13578;2345;1483
1206.3862.txt;41;8556;6874;608;386
1501.04706.txt;31;5184;4504;1003;636
