Archivo;Tamaño(K);Cant Palabras Inicial;Cant Palabras depuradas;Vocabulario Inicial;Vocabulario Final
1410.2670.txt;24;3926;3487;939;608
1404.3626.txt;35;6247;4804;1072;675
1405.0149.txt;34;7257;5066;928;618
1409.2612.txt;21;4211;2924;503;309
1511.00867.txt;72;14471;12191;1440;921
1504.01708.txt;106;20212;16958;1850;1142
1412.0340.txt;46;8497;7182;1300;865
1407.4908.txt;25;3973;3680;988;637
1510.02659.txt;86;16131;13495;1481;928
1203.3341.txt;89;15777;12365;2015;1217
1407.4066.txt;59;12521;9985;1176;749
1407.6116.txt;22;3738;3082;841;540
1307.2968.txt;614;117460;91176;4367;2472
1502.05880.txt;13;2121;1642;619;429
1507.02180.txt;14;2865;2288;473;302
1412.8591.txt;17;2797;2493;829;560
1506.08977.txt;28;4808;4254;993;661
1306.6109.txt;117;20330;18704;1673;955
1101.1169.txt;61;11435;9793;1416;905
1502.04147.txt;145;26357;21067;2830;1837
1503.01628.txt;51;9552;8074;1155;721
1502.03097.txt;55;9985;8423;1591;1040
1510.01072.txt;48;9747;7788;1189;768
1211.0729.txt;73;12608;11199;1689;1031
1507.07583.txt;57;9502;8487;1782;1140
1504.02141.txt;61;10248;9063;1769;1152
1510.03840.txt;22;3784;3077;1014;721
1405.7264.txt;151;25971;22776;2623;1592
1206.4627.txt;38;6683;5402;1091;728
1502.02800.txt;84;16144;11804;1764;1132
1103.1951.txt;24;4771;3429;579;342
1511.02166.txt;46;7787;6445;1358;895
1510.02438.txt;71;14011;10882;1331;848
1209.0735.txt;30;5510;4060;1197;836
1511.00736.txt;45;7172;6187;1482;1002
0704.3504.txt;22;4150;2983;569;367
1401.1671.txt;59;10489;8884;1542;997
1312.1001.txt;67;12870;10680;1195;733
1402.4338.txt;44;8814;6404;1173;752
1211.6470.txt;60;10019;8852;1855;1157
1408.3743.txt;17;3319;1896;490;298
1507.07622.txt;89;17296;15257;1446;886
1308.1603.txt;12;1891;1701;571;370
1510.05461.txt;51;10770;7636;1261;799
1401.1861.txt;29;5177;4634;1188;781
1406.4060.txt;104;21158;15150;1461;866
1407.4723.txt;28;4180;3811;1006;657
1412.5204.txt;16;3323;2177;539;348
1308.0497.txt;11;1974;1694;498;305
1508.04596.txt;41;6442;5538;1345;900
0811.1254.txt;83;14720;11645;1832;1228
1411.7632.txt;71;13106;9948;1723;1125
1510.00549.txt;36;7009;5827;1061;691
1409.8061.txt;27;5576;4091;762;511
1504.01782.txt;41;7010;6073;1248;845
1111.0284.txt;31;6144;4703;971;636
1310.6324.txt;98;20182;16275;1624;968
1503.02985.txt;75;12488;10695;1739;1071
1509.00926.txt;43;7853;6403;736;466
1507.08861.txt;50;7834;7191;1394;874
1502.01566.txt;31;6444;3436;1019;731
1407.6845.txt;84;15185;12699;2325;1493
1408.3030.txt;75;13589;11317;1717;1043
1111.2480.txt;93;17888;14945;1634;968
1301.2959.txt;42;8212;6132;1151;697
1303.0730.txt;36;7071;5218;909;562
1404.1864.txt;87;16854;12595;1763;1167
1510.04780.txt;38;6159;5687;1402;910
1403.3772.txt;153;31076;24322;1772;1081
1407.5218.txt;91;13772;11497;2560;1614
1506.08435.txt;60;9802;8196;1880;1210
1508.05232.txt;42;7176;5345;1201;828
1309.4958.txt;165;32260;27176;2148;1342
1301.3605.txt;32;5289;4719;1199;786
1208.6408.txt;45;6664;5279;1131;669
1508.01950.txt;87;17068;13898;1676;1062
1408.1390.txt;28;5524;4333;806;503
1501.05260.txt;8;1342;729;191;109
1007.5491.txt;62;11375;9180;1204;738
1511.06324.txt;89;18109;12985;1903;1259
0911.2538.txt;50;9242;7754;1504;1023
1510.03903.txt;77;13201;11314;1683;1067
1507.03528.txt;94;18382;13667;1796;1114
1509.00773.txt;66;10785;9110;1953;1189
1510.06423.txt;57;10067;8092;1573;997
1006.5892.txt;30;5195;4401;1077;719
1311.2970.txt;69;12359;10330;1718;1117
1407.2109.txt;71;13389;11631;1406;848
1507.04500.txt;165;32053;26738;1841;1107
1404.2458.txt;49;8792;7182;1637;1083
1404.3056.txt;20;3014;2840;988;683
1208.3251.txt;63;10730;9034;1825;1197
1307.3142.txt;40;8463;6116;1028;667
1507.07402.txt;83;16419;12057;1531;955
1210.7638.txt;62;11391;9771;1300;840
1511.02476.txt;350;58384;51773;5368;3276
1404.6898.txt;199;39940;28379;2601;1632
0911.2746.txt;28;5238;3941;862;573
1510.05071.txt;55;10395;7663;1386;925
1409.6182.txt;24;2942;2207;841;599
1505.05917.txt;70;12984;9525;1496;950
1510.01518.txt;62;11682;9232;1638;1049
1412.4171.txt;216;35889;31090;4048;2380
1402.5481.txt;154;28643;22560;3086;1950
1412.7725.txt;77;12495;11371;2104;1295
1510.06684.txt;16;2712;2097;694;466
1504.06584.txt;27;4765;3963;873;547
1510.00347.txt;139;25443;20151;2107;1317
1502.03387.txt;24;3961;3591;1107;732
1407.4729.txt;54;9857;7554;1593;1046
1507.07091.txt;100;19578;14881;1915;1245
1408.3190.txt;65;13644;10294;1133;737
1203.4600.txt;137;28159;21129;1725;1096
1402.4327.txt;37;7158;5414;1131;700
1504.03872.txt;33;6587;5108;934;601
1502.07884.txt;87;16702;13237;1449;971
1504.04217.txt;138;26936;20008;2134;1331
